from,to,relationship,weight,year_beginning,year_end
chwa,shta,6,1,1969,99
chwa,stmc,2,2,99,99
chwa,stpa,6,1,1969,99
chwa,suat,5,1,1968,1969
chwa,thno,1,1,1969,1971
chwa,thwa,2,1,1968,1969
chwa,wica,2,2,99,99
chwa,wofr,6,1,1969,1969
clsm,MF,99,99,99,99
cosi,MF,99,99,99,99
daba,cagi,5,3,1970,99
dabak,MF,99,99,1969,1969
dade,chma,2,1,99,1969
dade,MF,99,99,99,1969
dade,SA,99,99,99,99
dade,shco,5,3,1967,1975
dade,TS,99,99,99,99
dade,TS,99,99,99,99
dagr,chma,1,1,1961,1965
daha,MF,99,99,1969,1969
daka,chma,1,1,1970,1971
daka,chwa,1,1,1970,1971
daka,leva,1,1,1970,1971
daka,lika,1,1,1970,1971
daka,pakr,1,1,1970,1971
daka,suat,1,1,1970,1971
dasm,bebe,2,2,99,99
dasm,chma,1,3,99,99
dasm,erde,2,3,99,99
dasm,frme,2,3,99,99
dasm,MF,99,99,1968,99
demo,chma,3,2,1967,1969
demo,MF,99,99,1968,1969
demo,rumo,4,3,1951,2010
deta,MF,99,99,99,99
deta,scja,1,1,1969,99
deta,shta,4,3,1952,1969
dewi,brwi,4,3,99,99
dewi,chma,3,2,1968,1969
dewi,elba,99,99,99,99
dewi,grja,2,2,99,99
dewi,MF,99,99,99,99
dewi,pakr,2,2,99,99
dewi,rumo,2,2,99,99
dila,chma,2,3,1967,1969
dila,chma,3,3,1969,1969
dila,MF,99,99,1967,1969
dila,suat,2,2,1968,1969
dila,pakr,2,2,1968,1969
dila,leva,2,2,1968,1969
divo,MF,99,99,99,99
divo,biva,2,1,1969,1969
divo,chma,2,2,1969,1969
dosh,gesp,2,3,1960,1969
dosh,biva,3,3,99,1969
edda,MF,99,99,1969,1969
elba,chma,2,3,99,99
elba,dewi,99,99,99,99
elba,gahi,1,1,99,99
elba,pakr,2,2,99,99
elba,suat,2,2,99,99
elba,MF,99,99,99,1969
erde,dasm,2,3,99,99
erde,rosm,2,3,99,99
frho,chwa,1,1,99,99
frme,dasm,2,3,99,99
frsi,mifa,5,3,1966,1968
gahi,brda,3,2,1969,1969
gahi,chma,2,2,99,99
gahi,MF,99,99,1968,1969
grja,BB,2,2,99,99
grja,chma,3,1,1968,1969
grja,dewi,2,2,99,99
hakr,chma,7,1,1984,1984
hatr,chma,1,1,1968,99
hatr,MF,99,99,1968,99
hebe,chma,1,1,1968,1968
irfr,chwa,1,1,1969,1971
ivka,chma,1,2,1970,1971
jafr,chma,4,1,99,99
jago,MF,99,99,99,99
jase,abfo,2,3,1968,1969
jase,brle,2,2,1964,1969
jase,chwa,6,1,1969,1969
jase,ropo,2,3,1966,1969
jase,scja,4,3,99,99
jase,shta,5,3,1964,1969
jase,wofr,2,3,1968,1969
jasw,MF,99,99,99,99
